season;team_api_id;player_id;overall_rating;potential;finishing;heading_accuracy;short_passing;dribbling;sprint_speed;balance;shot_power;jumping;stamina;strength;positioning;penalties;sliding_tackle
2014/2015;8573;107806;67.25;67.25;25.0;25.0;26.0;25.0;43.0;56.0;21.0;71.0;24.0;83.0;25.0;25.0;25.0
2014/2015;8573;466117;61.0;73.0;31.0;43.0;60.0;66.0;76.0;74.0;55.0;73.0;77.0;56.0;47.0;44.0;62.0
2014/2015;8573;36832;66.75;66.75;36.0;71.75;63.0;41.0;48.0;43.0;68.0;46.0;63.0;80.75;56.0;71.0;65.5
2014/2015;8573;134233;63.0;63.0;26.0;76.0;46.0;38.0;43.0;34.0;62.0;56.0;64.0;88.0;28.0;54.0;56.0
2014/2015;8573;149334;65.0;65.0;23.0;68.0;54.0;26.0;54.0;41.0;57.0;55.0;65.0;82.0;38.0;57.0;62.0
2014/2015;8573;39859;62.5;62.5;47.0;49.0;64.5;58.0;60.5;68.0;73.0;68.0;67.0;63.5;58.0;60.0;63.0
2014/2015;8573;131531;71.0;71.0;64.25;35.5;75.0;66.75;61.25;74.5;67.5;59.0;64.25;45.25;69.25;71.25;36.5
2014/2015;8573;201811;71.4;75.0;47.0;41.0;75.4;72.4;74.0;81.0;59.0;71.0;78.4;63.0;63.0;66.0;51.0
2014/2015;8573;38365;66.14286;67.0;57.42857;60.714287;69.57143;67.0;69.0;77.0;75.0;74.0;70.42857;67.42857;61.42857;77.28571;59.57143
2014/2015;8573;45490;64.0;64.0;61.0;57.0;61.0;61.8;78.0;67.0;72.0;68.0;68.0;66.0;64.0;62.0;38.2
2014/2015;8573;265123;68.0;73.333336;58.0;46.0;68.0;76.0;80.0;80.0;61.0;61.0;44.5;55.5;61.0;62.0;26.0
2014/2015;8573;148329;65.666664;65.666664;68.666664;75.333336;64.333336;53.333332;50.0;37.0;72.666664;56.666668;50.333332;91.0;74.0;60.0;30.666666
2014/2015;9994;37937;68.2;69.8;25.0;25.0;26.0;25.0;48.0;53.0;25.0;61.0;37.0;79.0;25.0;28.0;25.0
2014/2015;9994;526230;62.0;70.8;63.2;63.6;57.2;63.0;72.8;61.0;65.2;62.0;58.2;70.0;54.4;60.0;25.0
2014/2015;9994;173983;64.0;65.0;55.0;54.0;66.0;68.0;71.0;70.0;74.0;52.0;68.0;70.0;61.0;53.0;64.0
2014/2015;9994;25791;70.0;70.0;46.0;72.0;65.0;37.0;52.0;58.0;72.0;63.0;73.0;81.0;43.0;75.0;66.0
2014/2015;9994;203755;72.0;77.5;46.0;66.0;66.5;62.0;70.0;59.0;57.0;74.25;69.75;77.0;56.0;32.0;72.5
2014/2015;9994;149150;69.25;70.75;38.0;66.0;68.0;67.25;86.0;77.0;61.0;93.0;79.75;66.0;55.0;48.0;68.25
2014/2015;9994;67898;70.0;70.0;57.0;65.0;70.0;64.0;69.0;75.0;70.0;78.0;77.0;72.0;72.0;54.0;67.0
2014/2015;9994;38290;71.0;71.0;41.0;68.0;74.0;59.0;75.0;60.0;75.0;78.0;90.0;83.0;68.0;47.0;69.0
2014/2015;9994;203666;73.0;80.0;70.0;72.0;76.0;71.0;67.0;55.0;70.0;57.5;71.0;76.0;79.0;65.0;31.0
2014/2015;9994;212285;;;;;;;;;;;;;;;
2014/2015;9994;38777;69.333336;69.666664;62.666668;36.0;65.666664;71.666664;72.0;78.0;65.0;72.0;67.0;43.0;64.0;75.0;28.0
2014/2015;9987;195782;70.333336;74.666664;25.0;25.0;27.0;25.0;47.0;40.0;25.0;71.0;36.0;70.0;25.0;35.0;25.0
2014/2015;9987;38782;73.0;76.0;74.0;71.0;71.0;63.0;66.0;73.0;73.0;70.0;85.0;58.0;83.0;74.0;39.0
2014/2015;9987;130027;69.5;71.5;48.0;68.0;70.0;67.0;68.0;66.0;80.0;79.0;75.5;87.5;65.0;54.0;66.5
2014/2015;9987;195448;72.8;75.6;44.0;73.2;63.8;58.0;78.0;42.0;83.2;80.0;81.8;89.6;46.0;71.0;69.0
2014/2015;9987;37858;;;;;;;;;;;;;;;
2014/2015;9987;166675;71.666664;73.333336;53.0;62.0;65.0;73.0;91.0;87.0;65.0;91.0;84.333336;72.333336;63.0;47.0;72.0
2014/2015;9987;277779;64.0;71.333336;51.0;26.0;56.0;71.0;78.0;91.0;57.0;84.0;52.0;33.0;54.0;44.0;27.0
2014/2015;9987;26590;69.0;69.0;62.4;69.0;68.0;75.0;83.0;57.0;76.8;77.2;69.0;71.0;72.0;69.0;22.0
2014/2015;9987;37112;71.166664;71.166664;67.0;57.0;72.0;69.0;59.0;67.0;74.5;64.166664;75.833336;67.0;74.0;84.333336;56.0
2014/2015;9987;354494;66.44444;79.666664;67.0;54.0;68.111115;73.0;76.0;75.0;58.333332;75.333336;55.555557;47.333332;67.111115;62.0;24.0
2014/2015;9987;32863;71.333336;71.333336;70.0;52.0;70.333336;71.333336;69.0;72.666664;64.111115;61.0;71.666664;59.666668;71.666664;70.0;46.0
2014/2015;9987;164732;72.4;73.0;72.4;71.4;68.0;73.4;74.2;61.0;71.4;77.6;74.0;81.8;75.4;68.0;39.0
2014/2015;274581;185618;69.0;73.75;12.0;11.0;37.0;15.0;45.0;27.0;22.0;46.0;18.0;62.0;11.0;14.0;12.0
2014/2015;274581;145061;71.0;74.75;70.0;72.0;69.0;73.0;75.0;50.0;67.0;71.0;63.0;75.0;74.0;65.0;25.0
2014/2015;274581;148289;;;;;;;;;;;;;;;
2014/2015;274581;210138;65.0;68.0;30.0;68.0;43.0;21.0;69.0;48.0;30.0;63.0;56.0;83.0;33.0;34.0;65.0
2014/2015;274581;39871;62.5;62.5;23.0;65.0;55.0;31.0;67.0;68.0;65.0;72.0;62.0;70.0;28.0;38.0;60.5
2014/2015;274581;36849;65.0;65.0;46.0;57.0;64.0;58.0;64.0;72.0;67.0;64.0;76.0;61.0;52.0;64.0;65.0
2014/2015;274581;442735;64.166664;68.166664;66.333336;56.333332;62.333332;66.5;74.5;70.666664;63.5;67.0;60.0;58.0;63.833332;64.0;25.0
2014/2015;274581;522746;59.0;59.0;37.0;51.0;62.0;51.0;54.0;78.0;55.0;63.0;68.0;62.0;42.0;47.0;56.0
2014/2015;274581;418105;64.0;66.75;52.0;65.0;65.0;54.0;64.0;58.0;79.0;62.0;91.0;86.0;65.0;51.0;60.0
2014/2015;274581;364290;64.0;68.666664;47.0;47.0;69.0;63.0;60.0;68.0;64.0;58.0;68.0;55.0;55.0;65.0;53.0
2014/2015;274581;94008;68.0;69.75;57.0;44.0;66.0;71.0;90.75;74.0;57.0;30.0;62.0;55.0;68.0;43.0;25.0
2014/2015;274581;201915;68.57143;73.0;72.42857;65.0;68.0;65.57143;88.0;80.71429;61.57143;72.28571;70.71429;61.0;70.85714;62.0;45.0
2014/2015;8571;206592;67.8;70.4;25.0;25.0;32.0;21.0;44.0;46.0;36.0;74.0;27.0;68.8;25.0;33.0;25.0
2014/2015;8571;299510;56.0;64.0;35.0;59.0;57.0;54.0;50.0;60.0;55.0;76.0;58.0;62.0;27.0;56.0;55.0
2014/2015;8571;39148;61.25;63.25;36.0;52.0;61.5;64.5;75.0;69.0;49.5;72.0;69.0;48.75;56.0;50.0;60.5
2014/2015;8571;181312;66.4;69.2;36.0;68.0;63.0;58.0;72.0;51.0;68.0;51.6;66.8;78.0;30.0;53.0;66.0
2014/2015;8571;289250;64.0;69.0;30.0;63.0;59.0;58.0;75.0;62.0;60.0;75.0;68.0;71.0;43.0;30.0;64.0
2014/2015;8571;156693;66.333336;69.0;26.333334;67.333336;59.0;28.0;58.0;56.0;72.0;70.666664;62.333332;81.333336;25.333334;43.0;64.666664
2014/2015;8571;478447;66.0;71.75;63.5;56.0;62.75;68.75;80.0;68.5;66.5;60.75;70.25;75.5;64.0;57.0;30.5
2014/2015;8571;131530;66.71429;66.71429;63.857143;45.285713;69.28571;70.28571;54.857143;56.142857;65.28571;43.42857;72.14286;53.57143;64.0;63.714287;37.0
2014/2015;8571;95614;69.0;69.6;46.6;63.2;68.2;60.4;65.6;73.4;69.2;71.8;75.6;61.8;56.8;59.2;69.4
2014/2015;8571;38257;68.0;68.0;58.0;72.0;65.666664;48.0;47.0;54.666668;65.666664;61.0;75.666664;77.333336;52.0;45.0;66.333336
2014/2015;8571;37065;67.57143;67.57143;65.42857;62.285713;68.42857;70.71429;64.71429;62.857143;65.57143;63.57143;70.85714;67.0;68.14286;65.28571;39.142857
2014/2015;8571;167057;70.0;72.625;73.0;74.625;64.25;57.0;67.0;41.5;77.0;64.0;74.0;89.0;69.5;66.25;21.75
2014/2015;9985;20747;72.0;72.0;14.0;14.0;33.0;12.0;40.0;46.0;37.0;71.0;30.0;68.0;11.0;24.0;11.0
2014/2015;9985;512726;63.0;72.5;66.0;55.0;56.5;64.0;81.0;70.5;64.0;72.0;54.0;58.0;56.0;59.0;25.0
2014/2015;9985;174054;65.666664;70.666664;55.0;68.0;64.666664;59.666668;78.0;68.0;51.0;76.0;67.666664;46.5;56.0;41.0;64.166664
2014/2015;9985;277848;69.333336;77.0;23.0;70.0;65.0;29.0;69.666664;56.0;62.0;67.0;68.0;77.666664;21.0;33.0;69.0
2014/2015;9985;38441;73.0;73.0;27.0;71.0;64.0;42.0;74.0;67.0;79.0;80.0;77.0;68.0;41.0;46.0;75.0
2014/2015;9985;244904;65.625;69.25;43.25;55.125;54.0;55.25;81.25;72.0;49.0;71.25;90.25;54.0;51.125;36.25;63.5
2014/2015;9985;242719;69.166664;73.166664;46.0;32.0;72.0;69.0;74.0;86.0;72.0;53.0;73.666664;61.333332;67.0;54.0;26.0
2014/2015;9985;118730;71.0;71.0;23.0;58.0;61.0;57.0;65.0;74.0;58.0;77.0;78.0;75.0;41.0;32.0;75.0
2014/2015;9985;34183;68.0;68.0;38.0;74.0;71.0;58.0;60.0;49.0;67.0;72.0;77.0;78.0;49.0;48.0;69.0
2014/2015;9985;195998;73.71429;80.0;74.0;39.0;72.0;79.0;78.0;68.0;88.0;78.0;76.0;78.0;70.0;80.0;45.0
2014/2015;9985;25957;73.0;73.0;69.5;90.0;72.0;69.0;67.0;57.0;73.0;90.0;75.0;84.0;75.0;69.0;37.0
2014/2015;9985;215766;70.28571;76.42857;63.0;52.0;72.14286;70.0;90.0;93.0;82.85714;60.0;81.0;76.28571;59.714287;60.0;52.0
2014/2015;9987;91929;71.0;71.0;25.0;25.0;25.0;25.0;43.0;38.0;23.0;66.0;26.0;78.0;25.0;43.0;25.0
2014/2015;9987;465750;64.69231;75.46154;25.0;62.76923;62.846153;43.53846;72.53846;60.46154;36.0;67.0;74.23077;68.0;21.461538;26.0;64.84615
2014/2015;9987;149219;68.833336;73.666664;36.0;68.75;53.833332;55.833332;78.0;56.666668;58.0;72.25;67.333336;81.0;34.0;34.0;70.333336
2014/2015;9987;148314;72.0;73.0;39.0;68.0;69.0;66.0;82.0;75.0;62.0;85.0;82.0;68.0;57.0;46.0;70.8
2014/2015;9987;465746;66.25;75.5;46.0;49.0;71.0;59.5;54.75;72.0;55.0;57.0;72.0;59.0;62.5;41.0;61.25
2014/2015;9987;364496;62.857143;72.42857;64.0;57.0;60.857143;63.857143;70.85714;58.42857;64.14286;61.142857;66.0;65.57143;57.857143;63.42857;21.0
2014/2015;8571;157375;66.0;67.333336;22.0;56.666668;53.0;25.0;58.0;40.0;24.0;63.0;72.0;79.0;40.0;58.333332;61.666668
2014/2015;8571;37861;65.0;65.0;56.0;53.0;62.0;66.0;81.0;78.0;62.0;77.0;72.0;67.0;53.0;52.0;64.0
2014/2015;8571;104377;69.8;71.0;71.2;66.0;66.4;68.8;82.4;76.2;71.6;84.4;71.6;61.0;69.2;64.8;32.0
2014/2015;8203;38327;67.0;67.0;25.0;25.0;25.0;25.0;23.0;30.0;25.0;36.0;28.0;71.0;25.0;25.0;25.0
2014/2015;8203;240044;69.28571;73.85714;67.0;69.0;66.0;71.0;76.0;56.0;71.14286;70.0;82.0;73.0;74.0;56.0;37.0
2014/2015;8203;186184;64.28571;69.57143;46.0;70.42857;66.42857;52.142857;45.0;34.0;68.0;62.142857;67.0;83.0;53.0;54.0;54.0
2014/2015;8203;396929;67.0;71.666664;21.0;72.666664;56.333332;60.0;77.0;56.0;55.0;71.0;71.0;80.0;31.0;34.0;66.0
2014/2015;8203;140932;65.75;68.75;21.0;57.75;63.5;56.0;49.0;45.0;78.0;45.0;49.5;84.0;26.0;48.5;65.5
2014/2015;8203;150968;68.4;70.4;50.0;52.0;70.0;68.0;79.0;68.0;59.0;66.0;75.0;69.0;54.0;49.0;67.0
2014/2015;8203;21753;66.666664;66.666664;67.0;57.666668;69.0;64.0;69.0;68.0;69.0;66.0;75.0;63.0;67.0;69.0;45.666668
2014/2015;8203;178283;65.0;73.5;59.5;46.0;67.75;66.25;50.0;77.0;55.5;58.0;63.0;62.0;61.0;56.0;35.5
2014/2015;8203;38956;68.833336;71.166664;53.0;69.5;67.0;49.0;76.0;44.0;77.0;73.666664;80.333336;84.0;53.0;72.0;63.0
2014/2015;8203;241501;65.0;74.6;47.0;58.4;66.0;67.2;67.0;74.0;68.0;64.0;49.0;50.0;67.0;58.0;44.0
2014/2015;8203;173957;65.28571;68.28571;62.857143;52.0;66.0;70.28571;71.0;72.0;62.857143;39.0;58.0;56.0;63.857143;50.857143;23.285715
2014/2015;8203;77813;66.0;67.0;69.0;78.0;63.0;62.0;56.166668;30.0;68.0;34.0;73.0;89.0;67.0;65.333336;25.0
2014/2015;8573;173462;66.2;76.0;51.0;59.2;63.0;71.0;85.0;74.0;62.2;81.4;67.4;78.4;53.0;52.0;65.6
2014/2015;8573;280033;63.25;65.0;22.0;56.0;63.0;53.0;59.25;58.0;35.0;67.0;72.25;74.0;48.25;46.0;61.5
2014/2015;8573;288784;65.5;73.833336;64.0;55.0;60.0;71.5;85.5;77.5;66.166664;54.666668;65.166664;42.666668;58.0;68.0;21.0
2014/2015;8573;68114;63.333332;63.333332;64.0;69.0;61.0;42.0;53.333332;42.0;78.666664;59.333332;75.333336;89.0;71.0;64.0;45.0
2014/2015;10000;37900;71.0;71.0;25.0;25.0;35.0;25.0;41.0;42.0;39.0;70.0;29.0;64.0;25.0;25.0;25.0
2014/2015;10000;466484;59.5;71.0;60.5;61.0;54.0;60.5;72.5;57.5;63.0;73.0;44.0;65.0;55.5;55.5;24.0
2014/2015;10000;554052;64.166664;75.833336;33.5;53.833332;66.0;68.5;83.5;78.0;30.0;80.0;68.0;58.0;48.0;38.0;64.333336
2014/2015;10000;37886;67.333336;67.333336;27.0;71.333336;68.0;43.0;46.333332;59.0;57.0;60.666668;75.666664;70.0;34.0;48.0;65.333336
2014/2015;10000;11357;67.0;67.0;47.0;67.0;66.0;51.0;61.0;62.0;69.0;81.0;85.0;75.0;52.0;59.0;64.0
2014/2015;10000;303179;67.0;72.333336;47.0;58.0;61.0;62.0;81.0;79.0;62.0;81.0;76.0;73.0;57.0;42.0;67.0
2014/2015;10000;520299;60.0;70.25;39.0;58.0;65.0;61.0;69.5;70.5;56.0;69.0;64.5;61.0;52.0;54.0;57.5
2014/2015;10000;33685;67.333336;67.333336;62.0;58.0;66.0;66.666664;65.0;72.0;67.0;58.0;79.666664;60.0;67.666664;64.0;46.0
2014/2015;10000;298665;65.125;72.625;64.75;66.875;72.875;66.875;48.125;67.625;70.125;77.0;66.0;84.0;65.0;52.375;53.875
2014/2015;10000;26771;69.75;69.75;65.0;65.0;71.0;66.0;72.0;59.0;72.5;62.0;84.25;71.0;72.0;63.0;55.0
2014/2015;10000;208852;65.111115;71.333336;63.77778;58.0;64.666664;68.0;72.0;69.0;67.333336;64.0;54.77778;62.0;58.11111;66.0;25.0
2014/2015;10000;179402;68.75;72.5;69.0;68.0;64.0;68.5;76.0;69.0;70.5;76.0;67.0;68.0;67.75;62.0;25.0
2014/2015;9991;49451;65.6;65.6;56.0;48.0;66.0;66.0;73.6;60.0;70.0;76.6;72.0;69.0;62.0;47.0;69.0
2014/2015;9991;91503;65.833336;67.166664;24.0;72.0;65.0;54.5;70.5;73.0;60.0;82.0;70.0;73.5;52.0;37.0;64.0
2014/2015;9991;67958;70.0;70.0;52.0;58.875;69.5;71.0;75.0;83.0;65.5;89.0;86.75;59.0;68.0;65.0;66.625
2014/2015;9991;181842;68.0;70.5;60.0;55.0;60.0;73.0;87.0;79.0;63.0;92.0;52.0;56.0;63.0;57.0;24.0
2014/2015;9991;25751;69.888885;69.888885;65.888885;29.0;70.55556;69.0;68.111115;74.0;66.666664;54.444443;67.0;43.77778;68.0;60.0;29.0
2014/2015;9991;282671;68.85714;70.71429;69.14286;74.71429;65.85714;59.0;72.85714;46.42857;75.71429;65.14286;82.42857;90.0;71.42857;59.142857;33.57143
2014/2015;9984;67949;65.0;65.0;25.0;25.0;36.0;25.0;34.0;34.0;35.0;66.0;27.0;68.0;25.0;34.0;25.0
2014/2015;9984;497572;56.5;65.75;32.0;41.25;62.0;58.0;56.0;75.0;47.0;49.0;54.5;50.0;51.25;52.0;53.0
2014/2015;9984;38789;65.75;65.75;49.0;63.0;65.0;60.0;52.5;68.0;67.75;56.0;74.75;63.75;58.0;66.0;66.75
2014/2015;9984;202471;63.0;67.666664;25.0;68.0;54.0;34.0;68.0;48.0;48.0;52.0;64.0;74.0;27.0;39.0;63.0
2014/2015;9984;37889;66.0;66.666664;35.0;57.0;66.0;63.0;72.0;73.0;60.0;79.0;72.0;62.0;59.0;45.0;67.0
2014/2015;9984;38337;64.666664;64.666664;36.0;70.666664;60.0;38.0;49.0;45.0;56.0;56.0;63.666668;74.0;28.0;68.0;61.666668
2014/2015;9984;111194;64.0;65.666664;48.0;63.0;63.0;58.0;71.0;57.0;72.0;53.0;75.0;79.0;57.0;52.0;62.0
2014/2015;9984;209855;65.0;68.0;54.0;27.0;59.0;71.0;72.0;90.0;59.0;65.0;66.0;43.0;62.0;52.0;55.0
2014/2015;9984;150240;62.75;64.25;61.0;52.5;61.25;66.0;73.25;72.5;72.0;66.0;65.0;72.0;65.0;53.0;37.0
2014/2015;9984;190854;66.666664;74.0;52.0;64.0;68.0;58.0;65.0;64.0;68.0;64.0;80.0;58.0;51.0;50.0;63.0
2014/2015;9984;431589;64.0;71.6;63.0;47.0;62.0;65.6;81.0;65.0;65.0;37.0;41.0;56.0;59.0;51.0;25.0
2014/2015;9984;231006;65.5;67.833336;63.166668;60.5;60.0;68.5;79.0;49.0;70.5;73.0;64.0;82.666664;61.0;57.0;21.0
2014/2015;10000;298822;61.0;67.0;32.0;52.0;58.0;42.0;69.0;56.0;35.0;77.0;71.0;73.0;40.0;42.0;58.0
2014/2015;10000;47564;69.166664;71.833336;69.0;51.0;64.333336;69.5;74.833336;68.333336;71.5;66.5;67.0;63.833332;72.666664;68.0;31.0
2014/2015;10000;466132;67.0;80.0;52.0;38.0;65.0;76.0;82.0;65.0;60.0;63.0;56.0;35.0;54.0;56.0;28.0
2014/2015;10001;346114;64.0;66.25;25.0;25.0;29.0;25.0;22.0;39.0;43.0;47.0;23.0;73.0;25.0;21.0;25.0
2014/2015;10001;449233;58.0;67.5;26.0;62.0;63.0;62.0;54.0;65.0;46.0;61.0;56.0;58.0;48.0;48.0;52.0
2014/2015;10001;179241;64.333336;67.0;31.0;55.0;55.0;59.0;81.0;64.0;56.0;60.0;70.0;83.0;45.0;45.0;66.5
2014/2015;10001;37965;65.5;65.5;25.0;67.0;55.0;38.0;30.0;58.0;64.0;66.0;62.0;74.0;37.0;55.0;64.0
2014/2015;10001;346111;64.8;70.0;28.0;67.0;62.8;42.0;64.6;54.0;55.0;58.0;67.0;70.2;27.0;34.0;63.0
2014/2015;10001;58358;64.4;66.2;21.0;60.0;62.0;58.8;65.0;60.0;54.0;68.0;71.0;70.8;43.0;44.0;65.4
2014/2015;10001;212863;64.0;65.5;53.0;54.0;65.0;63.0;73.0;62.0;59.5;57.0;61.0;58.0;63.0;52.0;25.0
2014/2015;10001;38323;65.0;65.0;35.0;63.0;65.0;45.0;67.0;54.0;62.0;63.0;78.0;76.0;47.0;44.0;61.0
2014/2015;10001;67957;64.0;64.0;42.0;66.0;63.0;54.0;43.0;67.0;55.0;55.0;77.0;58.0;54.0;31.0;65.0
2014/2015;10001;212598;65.8;71.0;63.8;62.0;61.0;68.2;73.8;67.0;67.0;72.0;71.0;64.0;66.0;54.0;28.0
2014/2015;10001;33622;65.5;65.5;63.0;58.0;55.0;68.5;82.0;59.0;70.5;75.0;63.0;73.0;62.5;64.0;27.0
2014/2015;10001;107983;64.0;64.0;67.0;49.0;45.0;64.0;79.0;75.0;59.0;75.0;54.0;57.0;67.0;48.0;25.0
2014/2015;9986;41301;72.25;72.25;25.0;25.0;32.0;25.0;49.0;41.0;25.0;59.0;30.0;64.0;25.0;25.0;25.0
2014/2015;9986;426174;63.0;66.0;27.0;61.0;59.0;50.0;73.0;71.0;53.0;65.0;66.0;62.0;39.0;48.0;62.0
2014/2015;9986;39578;68.4;68.4;65.0;76.0;68.0;59.0;60.8;62.0;74.0;71.0;82.0;78.0;75.0;64.0;66.0
2014/2015;9986;181054;63.666668;69.5;56.5;37.0;63.5;69.0;67.0;85.0;68.833336;65.0;60.5;45.0;59.0;63.333332;46.5
2014/2015;9986;289251;62.333332;67.666664;69.333336;72.0;55.0;52.0;70.0;32.0;68.333336;51.666668;58.0;82.0;56.0;67.0;22.0
2014/2015;9986;277444;67.44444;67.55556;58.88889;39.0;68.666664;63.333332;76.77778;62.0;64.77778;57.0;76.44444;69.0;64.77778;52.555557;43.0
2014/2015;274581;181572;58.2;58.2;25.0;25.0;25.0;25.0;26.0;27.0;21.0;50.0;23.0;67.0;25.0;21.0;25.0
2014/2015;274581;359378;61.0;68.5;25.0;61.5;48.5;33.0;66.5;65.0;43.5;70.0;68.5;62.0;24.0;47.0;63.0
2014/2015;274581;281861;60.666668;64.666664;30.0;63.0;49.0;29.666666;68.0;59.0;40.0;67.0;68.0;70.0;23.0;39.0;63.0
2014/2015;274581;293003;64.6;68.4;56.0;58.0;67.0;67.0;83.0;79.0;64.0;62.0;81.0;66.0;64.0;54.0;52.0
2014/2015;274581;26199;68.75;68.75;64.75;47.0;66.0;75.75;82.5;69.5;62.0;41.0;69.75;68.0;76.0;54.0;22.0
2014/2015;8342;207511;73.4;77.9;66.0;59.0;65.0;74.0;91.6;83.1;72.0;70.0;88.5;58.2;66.0;57.0;25.0
2014/2015;8342;113868;73.63636;74.27273;63.0;37.0;82.72727;69.63636;46.909092;70.72727;62.0;38.0;66.0;57.727272;72.63636;74.0;21.0
2014/2015;8342;37069;73.333336;73.333336;73.0;78.666664;71.666664;63.333332;73.666664;45.0;74.333336;74.333336;78.333336;85.0;76.0;67.0;28.0
2014/2015;8475;208699;68.0;74.0;25.0;25.0;37.0;25.0;43.0;37.0;35.0;71.0;31.0;67.0;25.0;36.0;25.0
2014/2015;8475;40679;65.25;67.25;36.0;62.75;64.75;60.0;62.25;60.0;49.0;64.0;73.25;73.5;57.0;58.0;64.0
2014/2015;8475;154276;66.0;68.5;29.0;57.0;64.5;61.75;74.0;66.0;62.0;74.0;70.0;62.0;58.0;49.0;68.0
2014/2015;8475;98368;67.333336;67.333336;23.0;70.0;60.0;42.833332;44.5;34.333332;59.0;56.166668;61.166668;84.5;29.0;58.0;62.833332
2014/2015;8475;38339;63.5;64.75;28.0;65.0;59.0;56.0;57.0;58.0;48.0;43.0;65.0;72.0;45.0;39.0;65.0
2014/2015;8475;32760;65.75;65.75;59.5;63.5;66.75;66.25;50.0;75.0;85.25;64.25;73.0;76.5;56.0;66.75;60.0
2014/2015;8475;276261;65.0;71.666664;30.0;71.0;61.0;51.0;71.0;59.0;72.0;80.333336;62.0;75.333336;40.0;61.0;58.333332
2014/2015;8475;120116;64.28571;66.57143;53.285713;58.142857;66.28571;66.0;61.42857;71.71429;69.0;63.142857;71.28571;63.0;57.714287;66.57143;57.0
2014/2015;8475;26606;64.666664;64.666664;38.333332;65.0;65.666664;51.333332;57.0;57.666668;69.0;59.0;70.0;72.0;27.0;42.0;64.0
2014/2015;8475;78902;66.4;66.4;67.0;59.6;63.2;67.6;79.2;74.0;67.4;83.0;68.8;61.0;66.0;68.8;29.0
2014/2015;8475;277767;65.666664;70.0;63.333332;73.833336;55.0;62.0;53.333332;33.0;68.5;44.0;80.0;88.0;64.666664;54.0;21.0
2014/2015;8475;170660;66.6;71.2;64.4;62.8;62.0;66.8;77.6;71.0;67.2;72.6;66.4;57.2;65.2;62.6;25.0
2014/2015;8635;38391;74.0;74.0;25.0;25.0;32.0;25.0;58.0;39.0;36.0;83.0;31.0;63.5;25.0;24.0;25.0
2014/2015;8635;31300;76.77778;77.22222;35.0;79.55556;66.0;56.0;48.333332;38.444443;59.0;66.0;59.0;79.666664;39.0;44.0;77.44444
2014/2015;8635;38368;72.0;73.75;54.5;69.0;73.0;76.0;78.0;63.0;68.0;77.0;81.0;78.75;68.75;64.0;74.0
2014/2015;8635;277761;73.0;83.0;56.0;72.0;62.0;67.25;82.5;66.0;78.0;81.25;73.0;80.75;53.0;30.0;73.75
2014/2015;8635;424128;66.5;76.0;28.0;67.0;62.0;35.0;67.75;59.25;53.0;63.0;64.0;76.0;34.0;41.0;65.5
2014/2015;8635;38388;70.25;70.25;27.0;70.125;63.5;47.0;65.5;57.5;65.0;67.125;74.5;70.0;42.0;35.0;71.0
2014/2015;8635;39631;76.0;77.75;64.0;61.0;77.75;74.0;67.0;80.0;73.0;73.0;83.0;66.0;71.0;70.0;68.0
2014/2015;8635;282012;74.6;83.7;59.1;52.7;76.3;74.4;73.2;76.3;70.0;64.7;78.6;60.1;73.4;54.6;52.1
2014/2015;8635;465960;73.57143;88.35714;58.0;56.0;76.57143;74.28571;69.0;78.0;74.0;69.0;74.0;62.5;63.0;73.64286;67.57143
2014/2015;8635;198453;72.0;78.85714;56.0;61.42857;69.0;75.42857;79.0;89.0;65.0;78.0;84.57143;60.857143;66.0;65.0;68.0
2014/2015;8635;351860;74.166664;83.916664;78.416664;80.416664;63.583332;66.166664;67.666664;48.0;80.833336;76.083336;62.5;83.5;74.75;58.0;25.0
2014/2015;8635;46552;75.75;77.75;78.0;61.0;74.5;80.0;76.25;71.0;75.0;71.25;55.5;61.0;77.0;67.0;23.0
2014/2015;9989;16199;67.75;67.75;25.0;25.0;21.0;25.0;47.0;51.0;25.0;62.0;53.0;73.0;25.0;20.0;25.0
2014/2015;9989;164135;61.0;61.0;58.0;64.0;65.0;60.0;66.0;58.0;62.0;54.0;46.0;80.0;63.0;52.0;59.0
2014/2015;9989;426892;64.0;69.25;21.0;54.0;62.0;67.0;72.75;83.0;27.0;64.0;78.0;56.0;42.0;46.0;68.0
2014/2015;9989;38785;67.0;67.0;25.0;68.0;38.0;36.0;66.0;54.0;67.0;78.0;68.0;78.0;23.0;24.0;68.0
2014/2015;9989;45485;67.0;67.0;34.0;70.0;57.0;31.0;58.5;64.0;37.0;80.0;68.0;76.0;41.0;47.0;63.0
2014/2015;9989;280134;62.4;69.6;32.0;60.0;56.0;60.0;79.0;59.0;55.0;69.0;65.0;72.0;37.0;40.0;63.0
2014/2015;9989;36863;69.0;69.0;66.0;41.0;69.0;72.0;61.0;80.0;66.0;62.0;65.0;53.0;70.0;66.0;35.666668
2014/2015;9989;181071;66.0;68.5;22.0;65.0;66.0;45.0;64.0;57.0;55.0;64.0;75.0;74.0;47.0;56.0;59.0
2014/2015;9989;513810;64.25;75.75;22.0;62.75;65.0;60.0;57.0;68.0;37.0;75.0;63.5;64.5;38.0;36.0;60.5
2014/2015;9989;532766;62.5;74.5;44.0;37.0;67.0;66.5;64.5;78.0;38.0;51.0;59.0;43.5;59.5;53.0;39.0
2014/2015;9989;286117;64.0;70.0;66.6;59.6;45.0;63.0;67.0;64.2;64.2;66.6;64.8;75.4;65.4;57.0;25.0
